"","species","lifestage","URL","SAME_AS","LOCAL_PATH","hex","rgb"
"20","BLACKGROUPER","spawningAdult","https://api.mapbox.com/styles/v1/claireroberts/cixvtl4lu00062rmh4zwjqoe6/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","BLACKGROUPER/SCAMP","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\spawningAdultsDis","#a65628","rgb(166,86,40)"
"21","BLACKGROUPER","eggs","https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\eggs","#F781BF","rgb(247,129,191)"
"22","BLACKGROUPER","larvae","https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\larvae","#E41A1C","rgb(228,26,28)"
"23","BLACKGROUPER","postLarvae","https://api.mapbox.com/styles/v1/auburngrad2015/ciyg4rco3001t2smf18mbt7cb/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","SPECKLEDHIND/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\postLarvae","#4DAF4A","rgb(77,175,74)"
"24","BLUELINETILEFISH","larvae","https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blueline Tilefish\larvae","#E41A1C","rgb(228,26,28)"
"25","BLUELINETILEFISH","adult","https://api.mapbox.com/styles/v1/claireroberts/cixvyqrtm000m2soz3at5mtsi/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blueline Tilefish\adultsDis","#ffff33","rgb(255,255,51)"
"26","BLUELINETILEFISH","spawningAdult","https://api.mapbox.com/styles/v1/claireroberts/cixvyr7th000d2sp60l24qwse/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","SPECKLEDHIND/BLUELINETILEFISH","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blueline Tilefish\spawningAdultsDis","#a65628","rgb(166,86,40)"
"27","BLUELINETILEFISH","earlyJuvenile",".","UNMAPPABLE",".","#984EA3","rgb(152,78,163)"
"28","BLUELINETILEFISH","lateJuvenile",".","UNMAPPABLE",".","#FF7F00","rgb(255,127,0)"
"29","BLUELINETILEFISH","eggs","https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blueline Tilefish\eggs","#F781BF","rgb(247,129,191)"
"30","BLUELINETILEFISH","postLarvae","https://api.mapbox.com/styles/v1/auburngrad2015/ciyg4rco3001t2smf18mbt7cb/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","SPECKLEDHIND/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blueline Tilefish\postLarvae","#4DAF4A","rgb(77,175,74)"
"31","BROWNSHRIMP","fertilizedEgg","https://api.mapbox.com/styles/v1/claireroberts/cixw2fmo1000p2rqjl5mz0ysz/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Brown Shrimp\fertilizedEggsDis","#F781BF","rgb(247,129,191)"
"32","BROWNSHRIMP","latePostlarvaeJuvenile","https://api.mapbox.com/styles/v1/claireroberts/cixw2agwq000t2sp6xcscej35/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Brown Shrimp\latePostlarvaeJuvenilesDis","#984EA3","rgb(152,78,163)"
"33","BROWNSHRIMP","nonSpawningAdult","https://api.mapbox.com/styles/v1/claireroberts/cixw2795f000p2rr0uwf6z8ja/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Brown Shrimp\nonSpawningAdultsDis","#ffff33","rgb(255,255,51)"
"34","BROWNSHRIMP","spawningAdult","https://api.mapbox.com/styles/v1/claireroberts/cixw23wd4000t2rmhw2nvi2d4/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Brown Shrimp\spawningAdultsDis","#a65628","rgb(166,86,40)"
"35","BROWNSHRIMP","subAdult","https://api.mapbox.com/styles/v1/claireroberts/cixw20kuy000r2rmh844p4jg9/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Brown Shrimp\subAdultsDis","#FF7F00","rgb(255,127,0)"
"36","BROWNSHRIMP","larvae","https://api.mapbox.com/styles/v1/auburngrad2015/ciyg6dzap00172ro42e2mh3s2/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Brown Shrimp\larvae","#E41A1C","rgb(228,26,28)"
"37","COBIA","adult","https://api.mapbox.com/styles/v1/auburngrad2015/ciyeosl4j001t2smycwbss1mp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","COBIA/GREATERAMBERJACK/KINGMACKEREL","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cobia\WCA_adult","#ffff33","rgb(255,255,51)"
"38","COBIA","spawningAdult",".","UNMAPPABLE",".","#a65628","rgb(166,86,40)"
"39","COBIA","eggs","https://api.mapbox.com/styles/v1/auburngrad2015/ciyg6i4pu001w2sl8ruqmay8l/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cobia\eggs","#F781BF","rgb(247,129,191)"
"40","COBIA","larvae","https://api.mapbox.com/styles/v1/auburngrad2015/ciyg6mb2700152smy5nxk3viz/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cobia\larvae","#E41A1C","rgb(228,26,28)"
"41","COBIA","postLarvae","https://api.mapbox.com/styles/v1/aquilonaris/ciyg7gcyt001b2smy6a9t14kf/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cobia\postLarvae","#4DAF4A","rgb(77,175,74)"
"42","COBIA","earlyJuvenile","https://api.mapbox.com/styles/v1/aquilonaris/ciyg7h85n00202sl8473u8g3h/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cobia\earlyJuveniles","#984EA3","rgb(152,78,163)"
"43","COBIA","lateJuvenile","https://api.mapbox.com/styles/v1/aquilonaris/ciyg7i10b001a2ro4po1rkuax/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cobia\lateJuveniles","#FF7F00","rgb(255,127,0)"
"44","CUBERASNAPPER","adult","https://api.mapbox.com/styles/v1/claireroberts/cixw8ay8200122rqj0ymtz2hl/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cubera Snapper\adults","#ffff33","rgb(255,255,51)"
"45","CUBERASNAPPER","earlyJuvenile","https://api.mapbox.com/styles/v1/claireroberts/ciy1ixazz005j2rmhop5py8gu/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cubera Snapper\earlyJuvenilesDis","#984EA3","rgb(152,78,163)"
"46","CUBERASNAPPER","lateJuvenile","https://api.mapbox.com/styles/v1/claireroberts/ciy1j990e00672soz2jdm3a6e/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cubera Snapper\lateJuvenilesDis","#FF7F00","rgb(255,127,0)"
"47","CUBERASNAPPER","spawningAdult","https://api.mapbox.com/styles/v1/claireroberts/ciy1jcp7o00692rqju3fbm7qm/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cubera Snapper\spawningAdultsDis","#a65628","rgb(166,86,40)"
"48","CUBERASNAPPER","larvae",".","UNMAPPABLE",".","#E41A1C","rgb(228,26,28)"
"49","CUBERASNAPPER","postLarvae",".","UNMAPPABLE",".","#4DAF4A","rgb(77,175,74)"
"50","CUBERASNAPPER","eggs","https://api.mapbox.com/styles/v1/aquilonaris/ciyg7ion3001c2smyb6x77ytx/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cubera Snapper\eggs","#F781BF","rgb(247,129,191)"
"51","GAG","adult","https://api.mapbox.com/styles/v1/jfroeschke/ciy1o4dqo006h2rqjqip4yh2o/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg","REDSNAPPER/VERMILIONSNAPPER/GAG/GRAYTRIGGERFISH","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\adultsDis","#ffff33","rgb(255,255,51)"
"52","GAG","earlyJuvenile","https://api.mapbox.com/styles/v1/jfroeschke/ciy1o1mel006f2rqjplmklx33/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg","YELLOWTAILSNAPPER/GAG","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\earlyJuvenilesDis","#984EA3","rgb(152,78,163)"
"53","GAG","lateJuvenile","https://api.mapbox.com/styles/v1/jfroeschke/ciy1nyd32005f2rr0m24uxxjc/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\lateJuvenilesDis","#FF7F00","rgb(255,127,0)"
"54","GAG","spawningAdult","https://api.mapbox.com/styles/v1/jfroeschke/ciy1nt6hk006i2sozb1nu2s8f/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\spawningAdultsDis","#a65628","rgb(166,86,40)"
"55","GAG","eggs","https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\eggs","#F781BF","rgb(247,129,191)"
"56","GAG","larvae","https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\larvae","#E41A1C","rgb(228,26,28)"
"57","GAG","postLarvae","https://api.mapbox.com/styles/v1/auburngrad2015/ciyg4rco3001t2smf18mbt7cb/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg","SPECKLEDHIND/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\postLarvae","#4DAF4A","rgb(77,175,74)"
"58","GOLDFACETILEFISH","adult","https://api.mapbox.com/styles/v1/jfroeschke/ciy1pk6zc006m2rqj13lxx27u/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goldface Tilefish\adultsDis","#ffff33","rgb(255,255,51)"
"59","GOLDFACETILEFISH","eggs",".","UNMAPPABLE",".","#F781BF","rgb(247,129,191)"
"60","GOLDFACETILEFISH","larvae",".","UNMAPPABLE",".","#E41A1C","rgb(228,26,28)"
"61","GOLDFACETILEFISH","postLarvae",".","UNMAPPABLE",".","#4DAF4A","rgb(77,175,74)"
"62","GOLDFACETILEFISH","earlyJuvenile",".","UNMAPPABLE",".","#984EA3","rgb(152,78,163)"
"63","GOLDFACETILEFISH","lateJuvenile",".","UNMAPPABLE",".","#FF7F00","rgb(255,127,0)"
"64","GOLDFACETILEFISH","spawningAdult",".","UNMAPPABLE",".","#a65628","rgb(166,86,40)"
"65","GOLIATHGROUPER","adult","https://api.mapbox.com/styles/v1/jfroeschke/ciy1pww59006o2rqj7kfz8eqw/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\adultsDis","#ffff33","rgb(255,255,51)"
"66","GOLIATHGROUPER","earlyJuvenile","https://api.mapbox.com/styles/v1/jfroeschke/ciy1uiu06005i2sp64rl11gbv/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\earlyJuvenilesDis","#984EA3","rgb(152,78,163)"
"67","GOLIATHGROUPER","lateJuvenile","https://api.mapbox.com/styles/v1/jfroeschke/ciy1so4mp00702rqjyptqp5y8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg","UNIQUE","X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\lateJuvenilesDis","#FF7F00","rgb(255,127,0)"
