,FootNote,FMP,Common.Name,Species.Name,Author,Title,Journal,Volume,Number,Pages,Year,URL,Editors,Publisher
530,63,Shrimp,Pink Shrimp,Penaeus duorarum,"Sheridan, P., G. McMahart, G. Conley, A. Williams and G. Thayer","Nekton use of macrophyte patches following mortality of turtlegrass, Thalassia testudinum, in shallow waters of Florida Bay (Florida, USA)",Bulletin of Marine Science,61,3,801--820,1997,http://www.ingentaconnect.com/contentone/umrsmas/bullmar/1997/00000061/00000003/art00019,.,.
531,64,Shrimp,Pink Shrimp,Penaeus duorarum,"Sheridan, P. F., M. R. G. Castro, F. J. Patefla and G. Zamora",Factors influencing recapture patterns of tagged penaeid shrimp in the western Gulf of Mexico.,Fishery Bulletin,87,2,295--311,1989,.,.,.
532,65,Shrimp,Pink Shrimp,Penaeus duorarum,"Stokes, G. M","The distribution and abundance of penaeid shrimp in the lower Laguna Madre of Texas, with a description of the live bait shrimp fishery",Texas Parks and Wildlife Department Technical Series,15,.,32 pp,1974,.,.,.
533,66,Shrimp,Pink Shrimp,Penaeus duorarum,"Sullivan, L. F. and R. C. Divita",Foods of Gulf of Mexico coastal fishes dining brown shrimp migration from estuaries (June-July 1982),"Unpublished manuscript, NMFS, Galveston, TX",.,.,.,.,.,.,.
534,67,Shrimp,Pink Shrimp,Penaeus duorarum,"Tabb, D. C., D. L. Dubrow and A. E. Jones","Studies on the biology of the pink shrimp, Penaeus duorarum Burkenroad, in Everglades National Park, Florida",Florida State Board of Conservation Technical Series,37,.,3 pp,1962,.,.,.
535,68,Shrimp,Pink Shrimp,Penaeus duorarum,"Teinsongrusmee, B","The effect of temperature on growth of post-larval pink shrimp, Penaeus duorarurn Burkenroad","M.S. thesis. University of Miami, Coral Gables, FL",.,.,66 pp,1965,.,.,.
536,69,Shrimp,Pink Shrimp,Penaeus duorarum,"Wenner, E. L. and H. R. Beatty","Utilization of shallow estuarine habitats in South Carolina, USA, by postlarval and juvenile stages of Penaeus spp.(Decapoda: Penaeidae)",Journal of Crustacean Biology,13,.,280--295,1993,http://www.jstor.org/stable/1548975?seq=1#page_scan_tab_contents,.,.
537,70,Shrimp,Pink Shrimp,Penaeus duorarum,"Wenner, E. L. and C. A. Wenner","Seasonal compositionn and abundance of decapod and stomatopod crustaceans from coastal habitats, southeastern United States",Fishery Bulletin,87,.,155--176,1989,http://dc.statelibrary.sc.gov/handle/10827/10564,.,.
538,71,Shrimp,Pink Shrimp,Penaeus duorarum,"Wickham, D. A","Observations on the activity patterns in juveniles of the pink shrimp, Penaeus duorarum",Bulletin of Marine Science,17,4,769--786,1967,http://www.ingentaconnect.com/content/umrsmas/bullmar/1967/00000017/00000004/art00001,.,.
539,72,Shrimp,Pink Shrimp,Penaeus duorarum,"Williams, A. B",A contribution to the life histories of commercial shrimps (Penaeidae) in North Carolina,Bulletin of Marine Science,5,2,116--146,1955,http://www.ingentaconnect.com/content/umrsmas/bullmar/1955/00000005/00000002/art00002,.,.
540,73,Shrimp,Pink Shrimp,Penaeus duorarum,"Williams, A. B",Substrates as a factor in shrimp distribution,Limnology and Oceanography,3,3,283--290,1958,http://loesje.aslo.net/lo/toc/vol_3/issue_3/0283.pdf,.,.
541,74,Shrimp,Pink Shrimp,Penaeus duorarum,"Williams, A. B",The influence of temperature on osmotic regulation in two species of estuarine shrimps (Penaeus),The Biological Bulletin,119,3,560--571,1960,http://www.journals.uchicago.edu/doi/abs/10.2307/1539268,.,.
542,75,Shrimp,Pink Shrimp,Penaeus duorarum,"Zimmerman, R. J","An ecological study of the macro-fauna occurring in turtle grass (Thalassia testudinum Konig) surrounding Ransom Island in Redfish Bay, Texas","M.S. thesis. Texas A&M University, Kingsville, TX",.,.,129 pp,1969,.,.,.
543,76,Shrimp,Pink Shrimp,Penaeus duorarum,"Zimmerman, R J. and T. J. Minello","Densities of Penaeus aztecus, Penaeus setiferus, and other natant macrofauna in a Texas salt marsh",Estuaries,7,4,421--433,1984,https://www.jstor.org/stable/1351623?seq=1#page_scan_tab_contents,.,.
544,77,Shrimp,Pink Shrimp,Penaeus duorarum,"Boudreaux, M. L., J. L. Stiner and L. J. Walters","Biodiversity of sessile and motile macrofauna or intertidal oyster reefs in Mosquito Lagoon, Florida",Journal of Shellfish Researhc,25,3,1079--1084,2006,http://www.bioone.org/doi/abs/10.2983/0730-8000(2006)25%5B1079%3ABOSAMM%5D2.0.CO%3B2,.,.
545,78,Shrimp,Pink Shrimp,Penaeus duorarum,"Criales, M. M., J. A Browder, C. N. K. Mooers, M. B. Robblee, H. Cardenas and T. L. Jackson","Cross-shelf transport of pink shrimp larvae: interactions of tidal currents, larval vertical migrations and internal tides",Marine Ecology Progress Series,345,.,167--184,2007,https://pubs.er.usgs.gov/publication/70031671,.,.
546,79,Shrimp,Pink Shrimp,Penaeus duorarum,"Monsreal-Vela, K., I. Velázquez-Abunader and G. R. Poot-López","Model selection for determining the growth of juveniles and sub-adults of two species of shrimp (Decopoda, Penaeidae) in a tropical coastal lagoon",Crustaceana,89,1,29--45,2016,http://booksandjournals.brillonline.com/content/journals/10.1163/15685403-00003510,.,.
547,80,Shrimp,Pink Shrimp,Penaeus duorarum,"Zink, I. C., M. M. Criales and J. A. Browder","Influence of temperature and salinity on growth, survival, and biomass productivity of postlarval and early juvenile pink shrimp Farfantepenaeus duorarum (Burkenroad 1939)",Journal of Shellfish Research,32,3,785--797,2013,http://www.bioone.org/doi/abs/10.2983/035.032.0322?journalCode=shre,.,.
548,1,Reef Fish,Queen Snapper,Etelis oculatus,"Fischer, W","FAO species identification sheets, fishing area 31 (W. Cent. Atlantic), no. LUT Etel 1",.,.,.,.,1978,.,.,"FAO, Rome"
549,2,Reef Fish,Queen Snapper,Etelis oculatus,"Roe, R",Distribution of snappers and groupers in the Gulf of Mexico and Caribbean Sea as determined from exploratory fishing data,Florida Sea Grant Report,17,.,129--164,1976,.,.,.
550,3,Reef Fish,Queen Snapper,Etelis oculatus,"Richards, W.J",Preliminary guide to the identification of the early life history stages of serranid fishes of the western central Atlantic,NOAA Technical Memorandum,NMFS-SEFSC-419,.,29 pp,NA,.,.,.
551,4,Reef Fish,Queen Snapper,Etelis oculatus,"Allen, G.R",FAO species catalogue vol. 6 snappers of the world,FAO Fishery Symposium,125,6,28--29,1985,.,.,.
552,5,Reef Fish,Queen Snapper,Etelis oculatus,"Murray, P.A., L.E. Chinnery, and E.A. Moore","The recruitment of the queen snapper Etelis oculatus Val., into the St. Lucian fishery: Recruitment of fish and recruitment of fishermen",Proceedings of the 41st Gulf and Caribbean Fisheries Institute,41,.,297--303,1992,http://aquaticcommons.org/12474/,.,.
553,6,Reef Fish,Queen Snapper,Etelis oculatus,"Murray, P.A., and E.A. Moore","Some morphometric relationships in Etelis oculatus Valenciennes (queen snapper), landed in St. Lucia",Proceedings of the 41st Gulf and Caribbean Fisheries Institute,41,.,416--421,1992,http://aquaticcommons.org/12483/,.,.
554,7,Reef Fish,Queen Snapper,Etelis oculatus,"D'Alessandro, E. K., S. Sponaugle and J. E. Serafy","Larval ecology of a suite of snappers (family: Lutjanidae) in the Straits of Florida, western Atlantic Ocean",Marine Ecology Progress Series,410,.,159--175,2010,http://www.int-res.com/articles/meps2010/410/m410p159.pdf,.,.
555,8,Reef Fish,Queen Snapper,Etelis oculatus,"Gobert, B., A. Guillou, P. Murray, P. Berthou, M. D. Oqueli Turcios, E. Lopez, P. Lorance, J. Huet, N. Diaz, and P. Gervain",Biology of queen snapper (Etelis oculatus: Lutjanidae) in the Caribbean,Fishery Bulletin,103,.,417--425,2005,http://fishbull.noaa.gov/1032/gobert.pdf,.,.
556,9,Reef Fish,Queen Snapper,Etelis oculatus,"Bryan, M. D., M. del Mar Lopez and B. Tokotch","A review of the life history characteristics of silk snapper, queen snapper, and redtail parrotfish",SEDAR26-DW-01,.,.,42 pp,2011,http://sedarweb.org/docs/wpapers/S26_DW_01.pdf,.,"Southeast Data, Assessment, and Review. North Charleston, South Carolina"
557,10,Reef Fish,Queen Snapper,Etelis oculatus,"Rosario, A., J. Rojas, E. Piñeiro,  M. Figuerola,  N. Peña and W. Torres ",.,.,.,.,31 pp,2006,http://www.sefsc.noaa.gov/P_QryLDS/download/CR123_NA04NMF4540209%20final%20report.pdf?id=LDS,.,.
558,1,Red Drum,Red Drum,Sciaenops ocellatus,GMFMC.,"Amendment Number 1, Environmental Assessment, Supplemental Regulatory Impact Review, Initial Regulatory Flexibility Analysis, the Secretarial Fishery Management Plan for the Red Drum Fishery of the Gulf of Mexico",.,.,.,32 pp,1987,http://gulfcouncil.org/Beta/GMFMCWeb/downloads/REDDRUM%20Amend-01%20Final%201987-05.pdf,.,.
559,2,Red Drum,Red Drum,Sciaenops ocellatus,GMFMC.,"Amendment Number 2, Environmental Assessment, Supplemental Regulatory Impact Review, Initial Regulatory Flexibility Analysis, the Secretarial Fishery Management Plan for the Red Drum Fishery of the Gulf of Mexico",.,.,.,43 pp,1988,http://gulfcouncil.org/Beta/GMFMCWeb/downloads/REDDRUM%20Amend-02%20Final%201988-03.pdf,.,.
560,3,Red Drum,Red Drum,Sciaenops ocellatus,"Bass, R. J. and J. W. Avault, Jr.","Food habits, length-weight relationship, condition factor, and growth of juvenile red drum, Sciaenops ocellata, in Louisiana",Transactions of the American Fisheries Society,104,1,35--45,1975,.,.,.
561,4,Red Drum,Red Drum,Sciaenops ocellatus,"Boothby, R. N. and J. W. Avault, Jr.","Food habits, length-weight relationship, and condition factor of the red drum (Sciaenops ocellata) in southeastern Louisiana",Transactions of the American Fisheries Society,100,2,290--295,1971,.,.,.
562,5,Red Drum,Red Drum,Sciaenops ocellatus,"Buckley, J.",Habitat suitability index models: larval and juvenile red drum,U. S. FIsh and Wildlife Service. FWS/OBS-82/10.74.,.,.,15 pp,1984,.,.,.
563,6,Red Drum,Red Drum,Sciaenops ocellatus,"Goodyear, C. P.",Status of the Red Drum stocks of the Gulf of Mexico: Report for 1989,Southeast Fisheries Science Center CRD 88/89-14,.,.,.,1989,.,.,.
564,7,Red Drum,Red Drum,Sciaenops ocellatus,"Holt, J., R. C. Godbout, and C. R.  Arnold.","Effects of temperature and salinity on egg hatching and larval survival of red drum, Sciaenops ocellata",.,.,.,.,1981,.,.,.
565,8,Red Drum,Red Drum,Sciaenops ocellatus,"Holt, G. J. and C. R.  Arnold.",Effects of ammonia and nitrite on growth and survival of red drum eggs and larvae,Transactions of the American Fisheries Society,112,2B,314--318,1983,.,.,.
566,9,Red Drum,Red Drum,Sciaenops ocellatus,"Holt, S. A., C. L. Kitting, and C. R.  Arnold.",Distribution of young red drums among different sea-grass meadows,Transactions of the American Fisheries Society,112,2B,267--271,1983,.,.,.
567,10,Red Drum,Red Drum,Sciaenops ocellatus,"Lee, W. Y., G. J. Holt, and C. R. Arnold.",Growth of red drum larvae in the laboratory,Transactions of the American Fisheries Society,113,2,243--246,1984,.,.,.
568,11,Red Drum,Red Drum,Sciaenops ocellatus,"Lohoefener, R., C. Roden, W. Hoggard, and K. Mullin.","Distribution and relative abundance of near-surface schools of large red drum, Sciaenops ocellatus, in northern Gulf of Mexico and selected inland waters-a pilot study","US Department of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service, Southeast Fisheries Center, Pascagoula Laboratories, Pascagoula, MS",.,.,.,1987,.,.,.
569,12,Red Drum,Red Drum,Sciaenops ocellatus,"Lyczkowski-Shultz, J., J. P. Steen, and B. H. Comyns.",Early life history of red drum (Sciaenops ocellatus) in the northcentral Gulf of Mexico: Technical Report,.,.,.,.,1988,.,.,.
570,13,Red Drum,Red Drum,Sciaenops ocellatus,"Matlock, G. C.",Red drum sex ratio and size at sexual maturity,"Texas Parks and Wildlife Department, Coastal Fisheries Branch",.,.,.,1985,.,.,.
571,14,Red Drum,Red Drum,Sciaenops ocellatus,"Murphy, M. D. and R. G. Taylor.","Reproduction, growth, and mortality of red drum Sciaenops ocellatus in Florida waters",Fishery Bulletin,88,3,531--542,1990,.,.,.
572,15,Red Drum,Red Drum,Sciaenops ocellatus,"Nichols, S.",An estimate of the size of the red drum spawning stock using mark/recapture,"National Marine Fisheries Service. Southeast Fisheries Science Center, Mississippi Lab",3209,.,.,1988,.,.,.
573,16,Red Drum,Red Drum,Sciaenops ocellatus,"Leach, P. J.","Final secretarial fishery management plan, regulatory impact review, regulatory flexibility analysis for the red drum fishery of the Gulf of Mexico","National Marine Fisheries Service. United States Department of Commerce. Washington, DC",.,.,.,1986,.,.,.
574,17,Red Drum,Red Drum,Sciaenops ocellatus,"Overstreet, R. M.","Aspects of the biology of the red drum, Sciaenops ocellatus, in Mississippi",.,.,.,.,1983,.,.,.
575,18,Red Drum,Red Drum,Sciaenops ocellatus,"Pattillo, M. E., T. E. Czapla, D. M. Nelson, and M. E. Monaco.","Distribution and abundance of fishes and invertebrates in Gulf of Mexico estuaries, Volume II: Species life history summaries","ELMR Rep. No. 11. NOAA/NOS strategic environmental assessments division, Silver Springs, MD.",.,.,377 pp,1997,.,.,.
576,19,Red Drum,Red Drum,Sciaenops ocellatus,"Peters, K. M. and R. H. McMichael.","Early life history of the red drum, Sciaenops ocellatus (Pisces: Sciaenidae), in Tampa Bay, Florida",Estuaries,10,2,92--107,1987,.,.,.
577,20,Red Drum,Red Drum,Sciaenops ocellatus,"Reagan, R. E.",Species Profiles. Life histories and environmental requirements of coastal fishes and invertebrates (Gulf of Mexico). Red Drum Biological Report,.,82,.,11--36,1985,.,.,.
578,21,Red Drum,Red Drum,Sciaenops ocellatus,"Anderson, D. A.",Patterns and mechanisms of size-dependent overwinter mortality in juvenile red drum (Sciaenops ocellatus),University of North Carolina Wilmington,.,.,.,2013,.,.,.
579,22,Red Drum,Red Drum,Sciaenops ocellatus,"Herzka, S. Z., S. A. Holt, and G. J. Holt.",Characterization of settlement patterns of red drum Sciaenops ocellatus larvae to estuarine nursery habitat: a stable isotope approach,Marine Ecology Progress Series,226,.,143--156,2002,.,.,.
580,23,Red Drum,Red Drum,Sciaenops ocellatus,SEDAR 44.,Atlantic Red Drum Stock Assessment Report,"Southeast Data, Assessment, and Review. North Charleston, South Carolina.",.,.,.,2015,http://sedarweb.org/sedar-44,.,.
581,24,Red Drum,Red Drum,Sciaenops ocellatus,"Wilson, C. A. and D. L. Nieland.","Reproductive biology of red drum, Sciaenaps acellatus, from the neritic waters of the northern Gulf of Mexico",Fishery Bulletin,92,4,841--850,1994,.,.,.
582,25,Red Drum,Red Drum,Sciaenops ocellatus,"Stunz, G. W., T. J. Minello, and P. S. Levin.","A Comparison of Early Juvenile Red Drum Densities among Various Habitat Types in Galveston Bay, Texas",Estuaries,25,1,76--85,2002,http://www.jstor.org/stable/1352909?seq=1#page_scan_tab_contents,.,.
583,26,Red Drum,Red Drum,Sciaenops ocellatus,SEDAR 49 Data Workshop Report.,"Gulf of Mexico Data-limited Species: Red Drum, Lane Snapper, Wenchman, Yellowmouth Grouper, Speckled Hind, Snowy Grouper, Almaco Jack, Lesser Amberjack","Southeast Data, Assessment, and Review. North Charleston, South Carolina.",.,.,298 pp,2016,http://sedarweb.org/sedar-49,.,.
584,27,Red Drum,Red Drum,Sciaenops ocellatus,"Wilson, C. A. and D. L. Nieland.",Variation of year class strength and annual reproductive output of Red Drum Sciaenops ocellatus from the northern Gulf of Mexico,"Coastal Fisheries Institute, Louisiana State University, Baton Rouge, L. A. Cooperative Agreement No. NA77FF0549",.,.,48 pp,NA,.,.,.
585,1,Reef Fish,Red Grouper,Epinephelus morio,"Beaumariage, D.S., and L.H. Bullock",Biological research on snappers and groupers as related to fishery management requirements,Florida Sea Grant Program Report,17,.,86--94,1976,.,.,.
586,2,Reef Fish,Red Grouper,Epinephelus morio,"Brule, T., D. Aldana Aranda, M. Sanchez Crespo, and T. Colas Marrufo",A preliminary study on the growth performance of juvenile red grouper reared in a recirculating-water system,The Progressive Fish Culturist,58,3,192--202,1996,http://www.tandfonline.com/doi/abs/10.1577/1548-8640(1996)058%3C0192%3AAPSOTG%3E2.3.CO%3B2,.,.
587,3,Reef Fish,Red Grouper,Epinephelus morio,"Brule, T., and C. Deniel","Expose synoptique des donnees biologiques sur le merou rouge Epinephelus morio (Valenciennes, 1828) du golfe du Mexique",FAO Syn. Pech,155,.,39 pp,1994,.,.,.
588,4,Reef Fish,Red Grouper,Epinephelus morio,"Brule, T., and L.G. Rodriguez Canche","Food habits of juvenile red groupers, Epinephelus morio (Valenciennes, 1828), from Campeche Bank, Yucatan, Mexico",Bulletin of Marine Science,52,2,772--779,1993,http://www.ingentaconnect.com/content/umrsmas/bullmar/1993/00000052/00000002/art00008,.,.
589,5,Reef Fish,Red Grouper,Epinephelus morio,"Bullock, L.H., and G.B. Smith",Seabasses (Pisces: Serranidae),"Florida Marine Research Institute, Memoirs of the Hourglass Cruises",8,2,243 pp,1991,http://aquaticcommons.org/750/,.,.
590,6,Reef Fish,Red Grouper,Epinephelus morio,"Coleman, F.C., C.C. Koenig, and L.A. Collins",Reproductive styles of shallow-water groupers (Pisces: Serranidae) in the eastern Gulf of Mexico and the consequences of fishing spawning aggregations,Environmental Biology of Fishes,47,2,129--141,1996,http://link.springer.com/article/10.1007/BF00005035,.,.
591,7,Reef Fish,Red Grouper,Epinephelus morio,"Frias, M. del P","Distribución larvaria de la cherna Americana (Epinephelus morio)(Valenciennes, 1828)(Pisces: Serranidae) en el Golfo de México",Revista Cubana de Investigaciones Pesqueras,7,4,26--39,1982,.,.,.
592,8,Reef Fish,Red Grouper,Epinephelus morio,"Goodyear, C.P., and M.J. Schirripa",The red grouper fishery of the Gulf of Mexico,"National Marine Fisheries Service, Southeast Fisheries Center, Miami Laboratory Contribution",MIA-90/91-86,.,80 pp,1991,https://www.researchgate.net/profile/C_Goodyear/publication/264898929_THE_RED_GROUPER_FISHERY_OF_THE_GULF_OF_MEXICO/links/53f54e1b0cf2888a7491bd1c.pdf,.,.
593,9,Reef Fish,Red Grouper,Epinephelus morio,"Jones, W. P., D. F. Martin, and J. D. Hardy, Jr.","Development of fishes of the Mid-Atlantic Bight: an atlas of egg, larval and juvenile stages",U.S. Fish and Wildlife Service Biological Service Program,FWS/OBS-78/12,3,53--55,1978,.,.,.
594,10,Reef Fish,Red Grouper,Epinephelus morio,"Jory, D.E., and E.S. Iversen","Species profiles: life histories and environmental requirements of coastal fishes and invertebrates (South Florida): Black, red and Nassau groupers",U.S. Fish and Wildlife Service Biological Report,82,11.11,21 pp,1989,.,.,.
595,11,Reef Fish,Red Grouper,Epinephelus morio,"Moe, M.A., Jr",Biology of the red grouper Epinephelus morio (Valenciennes) from the eastern Gulf of Mexico,"Florida Department of Natural Resources, Marine Research Laboratory Professional Paper Series",10,.,95 pp,1969,http://share.disl.org/library/Uncatergorized2/Professional%20Papers%20Series%20Number%2010)Biology%20of%20the%20Red%20Grouper%20Eastern%20Gulf%20of%20Mexico.pdf,.,.
596,12,Reef Fish,Red Grouper,Epinephelus morio,"Rivas, L.R",The red grouper of the Gulf of Mexico,Commercial Fisheries Review,32,10,24--30,1970,.,.,.
597,13,Reef Fish,Red Grouper,Epinephelus morio,"Roe, R.B",Distribution of snappers and groupers in the Gulf of Mexico and Caribbean Sea as determined from exploratory fishing data,Florida Sea Grant Program Report,17,.,129--164,1976,.,.,.
598,14,Reef Fish,Red Grouper,Epinephelus morio,"Springer, S","A collection of fishes from the stomachs of sharks taken off Salerno, Florida",Copeia,1946,3,174--175,NA,.,.,.
599,15,Reef Fish,Red Grouper,Epinephelus morio,"Stiles, T.C., and M.L. Burton","Age, growth, and mortality of Red Grouper, Epinephelus morio, from the southeastern US",Proceedings of the 43rd Gulf and Caribbean Fisheries Institute,43,.,123--137,1994,http://sedarweb.org/docs/wsupp/S42_RD_03_stiles%20and%20burton%201994%20rdg%20SA.pdf,.,.
600,16,Reef Fish,Red Grouper,Epinephelus morio,"Weaver, D.C",Feeding ecology and ecomorphology of three sea basses (Pisces: Serranidae) in the northeastern Gulf of Mexico,"M.S. thesis. University of Florida, Gainsville, FL",.,.,93 pp,1996,.,.,.
601,17,Reef Fish,Red Grouper,Epinephelus morio,"Colin, P.L., C.C. Koenig, and W.A. Laroche",Development from egg to juvenile of the red grouper (Epinephelus morio)(Pisces: Serranidae) in the laboratory,"In: Biology, fisheries, and culture of tropical groupers and snappers",48,.,399--414,1996,.,"F. Arreguin-Sanchez, J. L. Munro, M. C. Balgos and D. Pauly (eds.)",International Center for Living Aquatic Resources Management Conference Proceedings
602,18,Reef Fish,Red Grouper,Epinephelus morio,"Wilson, R.R., Jr., and K.M. Burns","Potential survival of released groupers caught deeper than 40 m based on shipboard and in-situ observations, and tag-recapture data",Bulletin of Marine Science,58,1,234--247,1996,http://www.ingentaconnect.com/content/umrsmas/bullmar/1996/00000058/00000001/art00014,.,.
603,19,Reef Fish,Red Grouper,Epinephelus morio,"Brule, T., and C. Deniel",Biological research on the red grouper (Epinephelus morio) from the southern Gulf of Mexico,"In: Biology, fisheries, and culture of tropical groupers and snappers",48,.,28--42,1996,.,"F. Arreguin-Sanchez, J. L. Munro, M. C. Balgos and D. Pauly (eds.)",International Center for Living Aquatic Resources Management Conference Proceedings
604,20,Reef Fish,Red Grouper,Epinephelus morio,"Johnson, A.G., M.S. Baker, Jr., and L.A. Collins",Preliminary examination of undersized grouper bycatch,Proceedings of the 49th Gulf and Caribbean Fisheries Institute,49,.,161--172,1997,http://aquaticcommons.org/12977/,.,.
605,21,Reef Fish,Red Grouper,Epinephelus morio,"Coleman, F. C., K. M. Scanlon and C. C. Koenig",Groupers on the edge: shelf edge spawning habitat in and around marine reserves of the northeastern Gulf of Mexico,The Professional Geographer,63,4,456--474,2011,http://www.tandfonline.com/doi/abs/10.1080/00330124.2011.585076,.,.
606,22,Reef Fish,Red Grouper,Epinephelus morio,"Giménez-Hurtado, E., F. Arreguín-Sánchez and S. E. Lluch-Cota","Natural mortality rates during life history stages of the red grouper on Campeche Bank, Mexico",North American Journal of Fisheries Management,29,1,216--222,2009,http://www.tandfonline.com/doi/abs/10.1577/M06-041.1,.,.
607,23,Reef Fish,Red Grouper,Epinephelus morio,"Sedberry, G. R., O. Pashuk, D. M. Wyanski, J. A. Stephen and P. Weinbach",Spawning locations for Atlantic reef fishes off the Southeastern US,Proceedings of the 57th Gulf and Caribbean Fisheries Institute,57,.,463--514,2006,http://graysreef.noaa.gov/science/publications/pdfs/i-49.pdf,.,.
608,24,Reef Fish,Red Grouper,Epinephelus morio,SEDAR 12,Stock assessment report of SEDAR 12 Gulf of Mexico red grouper,.,.,.,358 pp,2006,http://sedarweb.org/sedar-12,.,"Southeast Data, Assessment, and Review. North Charleston, South Carolina"
609,25,Reef Fish,Red Grouper,Epinephelus morio,SEDAR 42,Stock assessment report of SEDAR 42 Gulf of Mexico red grouper,.,.,.,612 pp,2015,http://sedarweb.org/sedar-42,.,"Southeast Data, Assessment, and Review. North Charleston, South Carolina"
610,26,Reef Fish,Red Grouper,Epinephelus morio,"Lowerre-Barbieri, S., L. Crabtree, T. S. Switzer and R. H. McMichael, Jr.","Maturity, sexual transition, and spawning seasonality in the protogynous red grouper on the West Florida Shelf",SEDAR42-DW-7,.,.,21 pp,2014,http://sedarweb.org/sedar-42,.,"Southeast Data, Assessment, and Review. North Charleston, South Carolina"
611,27,Reef Fish,Red Grouper,Epinephelus morio,"Lombardi-Carlson, L.",An age and growth description of Red Grouper (Epinephelus morio) from the northeastern Gulf of Mexico: 1978-2013 for SEDAR42,SEDAR42-DW-10,.,.,37 pp,2014,http://sedarweb.org/sedar-42,.,"Southeast Data, Assessment, and Review. North Charleston, South Carolina"
612,1,Reef Fish,Red Snapper,Lutjanus campechanus,"Beaumariage, D.S., and L.H. Bullock",Biological research on snappers and groupers as related to fishery management requirements,In: Proceedings: Colloquim on Snapper-Grouper Fishery Resources of the Western Central Atlantic Ocean,17,.,333 pp,1976,.,"H. R. Bullis, Jr. and A. C. Jones (eds.)",Florida Sea Grant College Report
613,2,Reef Fish,Red Snapper,Lutjanus campechanus,"Bradley, E., and C.E. Bryan",Life history and fishery of the red snapper (Lutjanus campechanus) in the northwestern Gulf of Mexico: 1970–1974,Proceedings of the 27th Gulf and Caribbean Fisheries Institute,27,.,77--106,1975,.,.,.
614,3,Reef Fish,Red Snapper,Lutjanus campechanus,"Camber, C.I","A survey of the red snapper fishery of the Gulf of Mexico, with special reference to the Campeche banks.","Florida Board of Conservation, Marine Research Laboratory Technical Series",12,.,64 pp,1955,.,.,.
615,4,Reef Fish,Red Snapper,Lutjanus campechanus,"Carpenter, J.S",A review of the Gulf of Mexico red snapper fishery,U.S. Fish and Wildlife Service Circular,208,.,35 pp,1965,.,.,.
616,5,Reef Fish,Red Snapper,Lutjanus campechanus,"Collins, L.A., J.H. Finucane, and L.E. Barger","Description of larval and juvenile red snapper, Lutjanus campechanus",Fishery Bulletin,77,4,965--974,1980,.,.,.
617,6,Reef Fish,Red Snapper,Lutjanus campechanus,"Futch, R.B., and G.E. Bruger","Age, growth, and reproduction of red snapper in Florida waters",In: Proceedings: Colloquim on Snapper-Grouper Fishery Resources of the Western Central Atlantic Ocean,17,.,165--184,1976,.,"H. R. Bullis, Jr. and A. C. Jones (eds.)",Florida Sea Grant College Report
618,7,Reef Fish,Red Snapper,Lutjanus campechanus,"Goodyear, C. P",Red Snapper in U.S. waters of the Gulf of Mexico,"Southeast Fishery Center, Miami Laboratory Contribution",MIA 91/92-70,.,156 pp,1992,https://www.researchgate.net/profile/C_Goodyear/publication/264558202_Red_snapper_in_U.S._Waters_of_the_Gulf_of_Mexico/links/53e909520cf2fb1b9b643ea3.pdf,.,.
619,8,Reef Fish,Red Snapper,Lutjanus campechanus,"Gutherz, E.J. and G.J. Pellgrin","Estimate of the catch of red snapper, Lutjanus campechanus, by shrimp trawlers in the US Gulf of Mexico",Marine Fisheries Review,50,1,17--25,1988,https://www.researchgate.net/profile/Gilmore_Pellegrin/publication/265222889_Estimate_of_the_Catch_of_Red_Snapper_Lutjanus_campechanus_by_Shrimp_Trawlers_in_the_US_Gulf_of_Mexico/links/543fd0b90cf2fd72f99db0ec.pdf,.,.
620,9,Reef Fish,Red Snapper,Lutjanus campechanus,"Klima, E.F",Snapper and grouper resources of the western central Atlantic Ocean,In: Proceedings: Colloquim on Snapper-Grouper Fishery Resources of the Western Central Atlantic Ocean,17,.,5--40,1976,.,"H. R. Bullis, Jr. and A. C. Jones (eds.)",Florida Sea Grant College Report
621,10,Reef Fish,Red Snapper,Lutjanus campechanus,"Moseley, F.N","Biology of the red snapper, Lutjanus aya Block, of the northwestern Gulf of Mexico","Publications of the Institute of Marine Science, University of Texas",11,.,90--101,1965,http://repositories.tdl.org/tamug-ir/handle/1969.3/19090,.,.
622,11,Reef Fish,Red Snapper,Lutjanus campechanus,"Nelson, R.S., and C.S. Manooch",Growth and mortality of red snappers in the west-central Atlantic Ocean and northern Gulf of Mexico,Transactions of the American Fisheries Society,111,4,465--475,1982,http://www.tandfonline.com/doi/abs/10.1577/1548-8659(1982)111%3C465%3AGAMORS%3E2.0.CO%3B2,.,.
623,12,Reef Fish,Red Snapper,Lutjanus campechanus,National Oceanic and Atmospheric Administration,Gulf of Mexico and Ocean Zones Strategic Assessment: Data Atlas,"NOAA, National Ocean Service",.,.,.,1985,.,.,.
624,13,Reef Fish,Red Snapper,Lutjanus campechanus,"Rabalais, N.N., S.C. Rabalais, and C.R. Arnold",Description of eggs and larvae of laboratory reared red snapper (Lutjanus campechanus),Copeia,1980,4,704--708,1980,http://www.jstor.org/stable/1444447?seq=1#page_scan_tab_contents,.,.
625,14,Reef Fish,Red Snapper,Lutjanus campechanus,"Rivas, L.R",Snappers of the western Atlantic,Commercial Fisheries Review,32,1,41--44,1970,.,.,.
