FootNote,FMP,Common Name,Species Name,Author,Title,Journal,Volume,Number,Pages,Year,URL,Booktitle,Chapter
11,Red Drum,Red Drum,Sciaenops ocellatus,"Lohoefener, R., C. Roden, W. Hoggard, and K. Mullin.","Distribution and relative abundance ofnear-surface schools oflarge red drum, Sciaenops ocel/atlls, in northern Gulf of Mexico and selected inland waters-a pilot study","US Department of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service, Southeast Fisheries Center, Pascagoula Laboratories, Pascagoula, MS",.,.,.,1987,.,.,.
12,Red Drum,Red Drum,Sciaenops ocellatus,"Lyczkowski-Shultz, J., J. P. Steen, and B. H. Comyns.",Early life history of red drum (Sciaenops ocellatus) in the northcentral Gulf of Mexico: Technical Report,.,.,.,.,1988,.,.,.
13,Red Drum,Red Drum,Sciaenops ocellatus,"Matlock, G. C.",Red drum sex ratio and size at sexual maturity,"Texas Parks and Wildlife Department, Coastal Fisheries Branch",.,.,.,1985,.,.,.
14,Red Drum,Red Drum,Sciaenops ocellatus,"Murphy, M. D. and R. G. Taylor.","Reproduction, growth, and mortality of red drum Sciaenops ocellatus in Florida waters",Fishery Bulletin,88,3,531--542,1990,.,.,.
15,Red Drum,Red Drum,Sciaenops ocellatus,"Nichols, S.",An estimate of the size of the red drum spawning stock using mark/recapture,"Nat. Mar. Fish. Serv. SE Fish. Sci. Cntr., Mississippi Lab",3209,.,.,1988,.,.,.
16,Red Drum,Red Drum,Sciaenops ocellatus,"Leach, P. J.","Final secretarial fishery management plan, regulatory impact review, regulatory flexibility analysis for the red drum fishery of the Gulf of Mexico","National Marine Fisheries Service. United States Department of Commerce. Washington, DC",.,.,.,1986,.,.,.
17,Red Drum,Red Drum,Sciaenops ocellatus,"Overstreet, R. M.","Aspects of the biology of the red drum, Sciaenops ocellatus, in Mississippi",.,.,.,.,1983,.,.,.
18,Red Drum,Red Drum,Sciaenops ocellatus,"Pattillo, M. E., T. E. Czapla, D. M. Nelson, and M. E. Monaco.","Distribution and abundance of fishes and invertebrates in Gulf of Mexico estuaries, Volume II: Species life history summaries","ELMR Rep. No. 11. NOAA/NOS strategic environmental assessments division, Silver Springs, MD.",.,.,377 pp,1997,.,.,.
19,Red Drum,Red Drum,Sciaenops ocellatus,"Peters, K. M. and R. H. McMichael.","Early life history of the red drum, Sciaenops ocellatus (Pisces: Sciaenidae), in Tampa Bay, Florida",Estuaries,10,2,92--107,1987,.,.,.
20,Red Drum,Red Drum,Sciaenops ocellatus,"Reagan, R. E.",Species Profiles. Life histories and environmental requirements of coastal fishes and invertebrates (Gulf of Mexico). Red Drum Biological Report,.,82,.,11--36,1985,.,.,.
21,Red Drum,Red Drum,Sciaenops ocellatus,"Anderson, D. A.",Patterns and mechanisms of size-dependent overwinter mortality in juvenile red drum (Sciaenops ocellatus),University of North Carolina Wilmington,.,.,.,2013,.,.,.
22,Red Drum,Red Drum,Sciaenops ocellatus,"Herzka, S. Z., S. A. Holt, and G. J. Holt.",Characterization of settlement patterns of red drum Sciaenops ocellatus larvae to estuarine nursery habitat: a stable isotope approach,Marine Ecology Progress Series,226,.,143--156,2002,.,.,.
23,Red Drum,Red Drum,Sciaenops ocellatus,SEDAR 44.,Atlantic Red Drum Stock Assessment Report,"Southeast Data, Assessment, and Review. North Charleston, South Carolina.",.,.,.,2015,http://sedarweb.org/sedar-44,.,.
24,Red Drum,Red Drum,Sciaenops ocellatus,"Wilson, C. A. and D. L. Nieland.","Reproductive biology of red drum, Sciaenaps acellatus, from the neritic waters of the northern Gulf of Mexico",Fishery Bulletin,92,4,841--850,1994,.,.,.
25,Red Drum,Red Drum,Sciaenops ocellatus,"Stunz, G. W., T. J. Minello, and P. S. Levin.","A Comparison of Early Juvenile Red Drum Densities among Various Habitat Types in Galveston Bay, Texas",Estuaries,25,1,76--85,2002,http://www.jstor.org/stable/1352909?seq=1#page_scan_tab_contents,.,.
26,Red Drum,Red Drum,Sciaenops ocellatus,SEDAR 49 Data Workshop Report.,"Gulf of Mexico Data-limited Species: Red Drum, Lane Snapper, Wenchman, Yellowmouth Grouper, Speckled Hind, Snowy Grouper, Almaco Jack, Lesser Amberjack","Southeast Data, Assessment, and Review. North Charleston, South Carolina.",.,.,298 pp,2016,http://sedarweb.org/sedar-49,.,.
27,Red Drum,Red Drum,Sciaenops ocellatus,"Wilson, C. A. and D. L. Nieland.",Variation of year class strength and annual reproductive output of Red Drum Sciaenops ocellatus from the northern Gulf of Mexico,"Coastal Fisheries Institute, Louisiana State University, Baton Rouge, L. A. Cooperative Agreement No. NA77FF0549",.,.,48 pp,2000,.,.,.
